,provider_name,address1,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,last_report_date,provider_status,:@computed_region_pqdx_y6mm,npi,address2,provider_note
0,Beebe Medical Center,424 Savannah Road,Lewes,Sussex,DE,19958,00310-7442-02,Evusheld,69.0,"{'type': 'Point', 'coordinates': [-75.14271, 38.77139]}",2022-09-26T00:00:00.000,ACTIVE,8.0,,,
1,SAFEWAY PHARMACY,75-971 Henry St,Kailua Kona,Hawaii,HI,96740,00069-1085-30,Paxlovid,25.0,"{'type': 'Point', 'coordinates': [-155.99122, 19.64341]}",2022-10-03T00:00:00.000,ACTIVE,,1679703664.0,,
2,SAFEWAY PHARMACY,4-831 Kuhio HWY,Kapaa,Kauai,HI,96746,00069-1085-30,Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-159.31104, 22.0845]}",2022-10-03T00:00:00.000,ACTIVE,,1033155817.0,,
3,WALGREENS STORE #02662,12645 S VIRGINIA ST,Reno,Washoe,NV,89511,00069-1085-30,Paxlovid,41.0,"{'type': 'Point', 'coordinates': [-119.75648, 39.41758]}",2022-09-29T00:00:00.000,ACTIVE,29.0,1992710966.0,,
4,DAY KIMBALL HOSPITAL,320 POMFRET ST,Putnam,Windham,CT,6260,00002-7589-01,Bebtelovimab,27.0,"{'type': 'Point', 'coordinates': [-71.91446, 41.90775]}",2022-09-29T00:00:00.000,ACTIVE,7.0,,,
5,LEHAN PHARMACY,317 MAIN ST,Minden,Pottawattamie,IA,51553,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-95.54176, 41.467175]}",2022-10-03T00:00:00.000,ACTIVE,16.0,1700891397.0,,
6,GILSTRAP DRUGS,1008 W MAPLE AVE,Geneva,Geneva,AL,36340,00069-1085-30,Paxlovid,32.0,"{'type': 'Point', 'coordinates': [-85.887829, 31.048631]}",2022-09-27T00:00:00.000,ACTIVE,1.0,1538215454.0,,
7,NILES COMMUNITY HEALTH CENTER,1951 OAK ST,Niles,Berrien,MI,49120,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-86.2284, 41.82818]}",2022-09-23T00:00:00.000,ACTIVE,23.0,,,
8,Rite Aid 02473,5280 NORTH HURON ROAD,Oscoda,Iosco,MI,48750,00069-1101-20,Renal Paxlovid,2.0,"{'type': 'Point', 'coordinates': [-83.331423, 44.453225]}",2022-10-03T00:00:00.000,ACTIVE,,1801905369.0,,
9,POWER PHARMACY,1310 S 4TH ST,Nashville,Howard,AR,71852,00069-1085-30,Paxlovid,14.0,"{'type': 'Point', 'coordinates': [-93.851435, 33.9315]}",2022-09-26T00:00:00.000,ACTIVE,4.0,1053311969.0,,
10,ACME,1060 RARITAN RD.,Clark,Union,NJ,7066,00069-1101-20,Renal Paxlovid,4.0,"{'type': 'Point', 'coordinates': [-74.31612, 40.628335]}",2022-10-03T00:00:00.000,ACTIVE,31.0,1790152536.0,,
11,WALGREENS STORE #19703,33 RIVER RD,Bogota,Bergen,NJ,7603,00069-1101-20,Renal Paxlovid,22.0,"{'type': 'Point', 'coordinates': [-74.03274, 40.87069]}",2022-09-29T00:00:00.000,ACTIVE,31.0,1831613504.0,,
